"Vendor Input Type for Store Owner","Vendor Input Type for Store Owner"
"Not shared with other vendors","Not shared with other vendors"
"Vendor Shop URL","URL de vendedor"
"Enable Vendor System","Enable Vendor System"
"Vendor approved notification email","Vendor approved notification email"
"Vendor rejected notification email","Vendor rejected notification email"
"This email will be sent after account Approval.","This email will be sent after account Approval."
"This email will be sent after account Disapproval.","This email will be sent after account Disapproval."
"This notification email will be sent when the product is reviewed and approved","This notification email will be sent when the product is reviewed and approved"
"This notification email will be sent when the product is reviewed and rejected","This notification email will be sent when the product is reviewed and rejected"
"Enable notification email which is sent to vendor when new order is placed.","Enable notification email which is sent to vendor when new order is placed."
"Vendor Account Sharing has been changed.","Vendor Account Sharing has been changed."
"Unable to Process Vendor Website Sharing.","Unable to Process Vendor Website Sharing."
"Vendor Website Sharing option need to be refresh.","Vendor Website Sharing option need to be refresh."
"Click here to","Click here to"
"Rebuild Vendor Website Sharing."," Rebuild Vendor Website Sharing."
"Can't process approval/disapproval for the Product.The Product's vendor is disapproved or not exist.","Can't process approval/disapproval for the Product.The Product's vendor is disapproved or not exist."
"Can't process approval/disapproval for some products.Some of Product's vendor(s) are disapproved or not exist.","Can't process approval/disapproval for some products.Some of Product's vendor(s) are disapproved or not exist."
"Websites(s)","Websites(s)"
"Please select products(s).","Please select products(s)."
"Shop","Shop"
"Enable notification email which is sent to vendor when order will be cancelled.","Enable notification email which is sent to vendor when order will be cancelled."
"This email will be sent after account Deletion.","This email will be sent after account Deletion."
"Vendor deleted notification email","Vendor deleted notification email"
"Enable Cancel Order Notification Email","Enable Cancel Order Notification Email"
"Order Cancel Notification Template","Order Cancel Notification Template"
"Vendor - Product deleted notification","Vendor - Product deleted notification"
"Product deleted notification email","Product deleted notification email"
"This notification email will be sent when the product is reviewed and deleted","This notification email will be sent when the product is reviewed and deleted"
"Adjustment Amount","Monto de ajuste"
"Disapproved","Disapproved"
"Can't continue with payment","because vendor did not specify payment method(s).","Can't continue with payment, because vendor did not specify payment method(s)."
"Beneficiary Details","Beneficiary Details"
"Payment Details","Payment Details"
"Order Details","Order Details"
"Net Amount can't be less than zero","Net Amount can't be less than zero"
"Payment Mode","Modo de pago"
"Total Earned Amount","Total de ventas"
"Total Orders Placed","Total de órdenes recibidas"
"Total Products Sold","Total de productos vendidos"
"Disapproved Products","Disapproved Products"
"Latest Orders","Últimas órdenes"
"Net Earned","Neto ganado"
"Vendor Profile View","Perfil de vendedor"
"You have not saved any information in this group.","No has guardado información en esta casillaSELECT"
"% completed","% completado"
"Edit Profile","Edit Profile"
"Transaction Mode","Transaction Mode"
"Vendor Transactions","Vendor Transactions"
"Amount Description","Amount Description"
"Vendor Account Options","Vendor Account Options"
"Vendor Shop Pages (Frontend)","Vendor Shop Pages (Frontend)"
"Vendor Profile Page","Vendor Profile Page"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"Banner Image Width","Banner Image Width"
"Banner Image Height","Banner Image Height"
"Image Width","Image Width"
"Image Height","Image Height"
"Vendor Log/Debug Settings","Vendor Log/Debug Settings"
"Vendor Data Process Log File Name","Vendor Data Process Log File Name"
"Vendor Exception Log File Name","Vendor Exception Log File Name"
"Debug Enabled","Debug Enabled"
"Display Debug Toolbar if set to Yes and client's ip is whitelisted in System / Configuration / Developer / Developer Client Restrictions - Allowed IPS.","Display Debug Toolbar if set to Yes and client's ip is whitelisted in System / Configuration / Developer / Developer Client Restrictions - Allowed IPS."
"Allow admin/vendor to capture the bugs if any found and report to the developer.","Allow admin/vendor to capture the bugs if any found and report to the developer."
"If enable then it will create log files.","If enable then it will create log files."
"All the process data will be capture.","All the process data will be capture."
"All exception will be capture.","All exception will be capture."
"CsMarketplace Page","CsMarketplace Page"
"Banner","Banner"
"For Top Link and Heading","For Top Link and Heading"
"Country Wise Orders","Country Wise Orders"
"Add Profile Picture","Sube tu foto de perfil"
"Add Company Logo","Sube el logo de tu compañía"
"Add Company Banner","Sube un banner para tu tienda"
"Total Commission","Comisión total"
"Product Categories Display","Product Categories Display"
"Vendor Products Limit","Vendor Products Limit"
"Allowed Categories","Allowed Categories"
"All Allowed Categories","All Allowed Categories"
"Specific Categories","Specific Categories"
"Product Creation limit Exceeded","Product Creation limit Exceeded"
"SEO Information (CsMarketplace Page)","Información de SEO (CsMarketplace Page)"
"SEO Information","Información de SEO"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Find us on Facebook","Find us on Facebook"
"Follow us on Twitter","Follow us on Twitter"
"Product Creation limit has Exceeded","Product Creation limit has Exceeded"
"Vendor shop enabled","Vendor shop enabled"
"Vendor shop disabled","Vendor shop disabled"
"Vendor Shop Enable notification email","Vendor Shop Enable notification email"
"Vendor Shop Disable notification email","Vendor Shop Disable notification email"
"This email will be sent after vendor shop will be disabled by admin.","This email will be sent after vendor shop will be disabled by admin."
"This email will be sent after vendor shop will be enabled by admin.","This email will be sent after vendor shop will be enabled by admin."
"Are you sure you want to Disable?","Are you sure you want to Disable?"
"Are you sure you want to Enable?","Are you sure you want to Enable?"
